key,sha,message,filename
HIVE-11468,b801d12cb43c48d45731aaafccc06f14484fc6ab,"HIVE-11468: (addendum) Vectorize Struct IN() clauses (Matt McCline, via Gopal V)",ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/Vectorizer.java.rej
HIVE-11945,a4c43f0335b33a75d2e9f3dc53b3cd33f8f115cf,"HIVE-11945: ORC with non-local reads may not be reusing connection to DN (Rajesh Balamohan reviewed by Sergey Shelukhin, Prasanth Jayachandran)",ql/src/java/org/apache/hadoop/hive/ql/io/orc/MetadataReader.java
HIVE-11945,a4c43f0335b33a75d2e9f3dc53b3cd33f8f115cf,"HIVE-11945: ORC with non-local reads may not be reusing connection to DN (Rajesh Balamohan reviewed by Sergey Shelukhin, Prasanth Jayachandran)",ql/src/java/org/apache/hadoop/hive/ql/io/orc/ReaderImpl.java
HIVE-11945,a4c43f0335b33a75d2e9f3dc53b3cd33f8f115cf,"HIVE-11945: ORC with non-local reads may not be reusing connection to DN (Rajesh Balamohan reviewed by Sergey Shelukhin, Prasanth Jayachandran)",ql/src/java/org/apache/hadoop/hive/ql/io/orc/RecordReaderUtils.java
HIVE-11723,1cf7e25c089a1880e9c6ca3ee9f7be0e388dd609,HIVE-11723 : Incorrect string literal escaping (Yongzhi Chen via Szehon),ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
HIVE-11723,1cf7e25c089a1880e9c6ca3ee9f7be0e388dd609,HIVE-11723 : Incorrect string literal escaping (Yongzhi Chen via Szehon),ql/src/test/queries/clientpositive/insertvalues_espchars.q
HIVE-11723,1cf7e25c089a1880e9c6ca3ee9f7be0e388dd609,HIVE-11723 : Incorrect string literal escaping (Yongzhi Chen via Szehon),ql/src/test/results/clientpositive/insertvalues_espchars.q.out
HIVE-11590,ea05d3d4b5349f81d33fed27225af5f161ee7ff8,HIVE-11590 : AvroDeserializer is very chatty (Swarnim Kulkarni via Xuefu Zhang),serde/src/java/org/apache/hadoop/hive/serde2/avro/AvroDeserializer.java
HIVE-11590,ea05d3d4b5349f81d33fed27225af5f161ee7ff8,HIVE-11590 : AvroDeserializer is very chatty (Swarnim Kulkarni via Xuefu Zhang),serde/src/java/org/apache/hadoop/hive/serde2/avro/AvroSerDe.java
HIVE-11590,ea05d3d4b5349f81d33fed27225af5f161ee7ff8,HIVE-11590 : AvroDeserializer is very chatty (Swarnim Kulkarni via Xuefu Zhang),serde/src/java/org/apache/hadoop/hive/serde2/avro/AvroSerdeUtils.java
HIVE-11590,ea05d3d4b5349f81d33fed27225af5f161ee7ff8,HIVE-11590 : AvroDeserializer is very chatty (Swarnim Kulkarni via Xuefu Zhang),serde/src/java/org/apache/hadoop/hive/serde2/avro/AvroSerializer.java
HIVE-11932,7b92f44b674c5455eb3629b75037531efca43126,"HIVE-11932: JDBC Driver appends an extra / when configuring connection by reading httpPath from ZooKeeper (Vaibhav Gumashta, reviewed by Thejas Nair)",jdbc/src/java/org/apache/hive/jdbc/ZooKeeperHiveClientHelper.java
HIVE-11922,648f2c6bd47c9fcb555fcaea64c15f8b03a48ab4,HIVE-11922: Better error message when ORC split generation fails (Prasanth Jayachandran reviewed by Sergey Shelukhin),ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java
