file,lines_added,lines_deleted,num_commits,num_bug_fixes,num_all_commits,num_developers,num_all_developers,avg_time_between_changes,avg_time_all_versions,avg_expertise,min_expertise
bin/ext/orcfiledump.sh,1,1,2,0,0,2,0,14597435.0,0,290.0,101
bin/hplsql,0,4,1,0,0,1,0,0,0,3.0,3
bin/ext/cli.sh,22,12,6,1,1,6,1,14065755.2,0,181.5,83
binary-package-licenses/NOTICE,15,0,1,0,0,1,0,0,0,241.0,241
binary-package-licenses/asm-LICENSE,29,0,1,0,0,1,0,0,0,241.0,241
binary-package-licenses/com.google.protobuf-LICENSE,42,0,1,0,0,1,0,0,0,241.0,241
binary-package-licenses/com.ibm.icu.icu4j-LICENSE,385,0,1,0,0,1,0,0,0,241.0,241
beeline/src/main/resources/BeeLine.properties,49,8,18,3,0,14,0,3541608.9411764704,0,113.5,1
binary-package-licenses/com.sun.jersey-LICENSE,93,0,1,0,0,1,0,0,0,241.0,241
binary-package-licenses/com.thoughtworks.paranamer-LICENSE,26,0,1,0,0,1,0,0,0,241.0,241
binary-package-licenses/README,90,0,2,0,0,1,0,37949016.0,0,241.0,241
binary-package-licenses/javax.transaction.transaction-api-LICENSE,128,0,1,0,0,1,0,0,0,241.0,241
binary-package-licenses/javolution-LICENSE,25,0,1,0,0,1,0,0,0,241.0,241
binary-package-licenses/jline-LICENSE,32,0,1,0,0,1,0,0,0,241.0,241
binary-package-licenses/org.abego.treelayout.core-LICENSE,26,0,1,0,0,1,0,0,0,241.0,241
bin/ext/hiveserver2.sh,8,1,7,1,0,5,0,11607277.166666666,0,200.4,82
binary-package-licenses/org.antlr-LICENSE,27,0,1,0,0,1,0,0,0,241.0,241
binary-package-licenses/org.antlr.antlr4-LICENSE,27,0,1,0,0,1,0,0,0,241.0,241
